Plant ID Alpha,Plant ID Numeric,Band #,Date,start_date,leaf_age(days),Volume (mL),Color,Dead,ants,spiders,beetle,other prey,Mosquito,Stage 1,Stage 2,Stage 3,Stage 4,Midges,Snot,Mites,Notes,Rotifers,Bodo,Colpoda,Chrysomonads,Colpidium,Cryptomonads,Cyclidium,prot. Mites,nematode,Crab,Mushroom,Vorticella,Lot. Rotifer,Paramecium,Balloon,tripod,volvox,unknown protozoa,Tan,White,Orange,Purple,Yellow,Brown,Pink,Mold,Sheet (%),Cream,White Raised,Amoeba,Yellow Center,Dry Edge White,Dry White,Tan ring,Cream blob,Irregular orange,Yellow Glow,Tan Center,White Ring,Salmon,White Center,Wet White,dry yellow glow,Cauliflower,Dry Center Tan,Wet Yellow,Unclear White,Egg,Irregular white,Tan Dry Edge,Dry Pink,Dark Brown,Dry Tan,Dry Yellow,Dry White,Tan White Center,Irregular Brown,Dry Orange,Brown Blob,White and Pink,Brick,Gray and White,gray center,Cream Raised Center,purple-gray ring,total ciolonies,log colonies,log Bodo,log Chryso,log Rotifer,log Colpidium
A,1,1079,4/6/2005,9/8/2004,210,10,clear,0,0,0,0,,6,1,0,0,5,5,0,0,1 fathead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,3.713572067,0,0,0,0
A,1,1079,4/20/2005,9/8/2004,224,8,clear,0,0,0,0,,3,1,0,0,2,1,0,0,1 fathead,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,2,0,0,0,0,0,2 tot 4%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36,3.610917913,0,4.143134726,0,0
A,1,1079,5/4/2005,9/8/2004,238,10,clear,0,0,0,0,,3,2,0,0,1,4,0,0,,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34,3.555348061,0,4.33073334,0,0
A,1,1079,5/18/2005,9/8/2004,252,9,clear,1,1,0,0,,3,0,1,0,2,1,0,0,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,399,5.991464547,0,3.091042453,0,0
A,1,1079,6/1/2005,9/8/2004,266,7.5,clear,"1, 1 sm  bee",1,0,0,small bee,5,2,1,1,1,2,0,0,,0,15,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,10,44,0,0,0,0,0,1 tot 5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,125,4.836281907,2.772588722,5.379897354,0,0
A,1,1079,6/15/2005,9/8/2004,280,8,clear,1,1,0,0,,4,0,1,1,2,2,0,0,,0,36,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,393,5.976350909,3.610917913,4.127134385,0,0
A,1,1079,6/30/2005,9/8/2004,295,8,clear,1,1,0,0,,5,0,2,1,2,3,0,0,midges small,0,28,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,134,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,5.752572639,3.36729583,4.875197323,0,0
A,1,1079,7/13/2005,9/8/2004,308,7,clear,1,1,0,0,,5,0,0,3,2,4,0,0,leaf dead,0,392,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,7.094234846,5.973809612,4.584967479,0,0
B,3,399,6/15/2004,6/15/2004,0,12,clear,73,73,0,0,,9,2,4,3,0,0,0,0,"lots of ant bits, 1 dead 1/2 cricet, 1 dead sm. Worm, hard to see clear mosq and mites",0,0,0,0,0,0,0,0,0,0,,,,,,,,,6000,7800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,100,0,0,,,,,,,,,,,,,,,,17100,9.74689222,0,0,0,0
B,3,399,6/29/2004,6/15/2004,14,12,pink,40,40,0,0,,9,6,0,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2500,7300,0,0,0,0,0,7,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,10000,9.210440367,0,0,0,0
B,3,399,7/14/2004,6/15/2004,29,11,milky,0,0,0,0,,0,0,0,0,0,0,0,0,lots of ant parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4100,14300,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,1700,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,36,0,0,0,0,,,,,,,22772,10.0333309,0,0,0,0
B,3,399,7/27/2004,6/15/2004,42,12,cloudy,3,3,0,0,,0,0,0,0,0,0,0,0,"lots of parts (LOP), algae in sm clump",0,37,11,34,0,0,0,0,1,0,0,0,0,0,0,,,,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,,,,,,,1418,7.257707677,3.63758616,3.555348061,0,0
B,3,399,8/11/2004,6/15/2004,57,12,yellowish,1,1,0,0,,0,0,0,0,0,0,0,0,LOP,0,654,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,,,,,,,103,4.644390899,6.484635236,0,0,0
B,3,399,8/25/2004,6/15/2004,71,10,lt. green,1 lg ant,1,0,0,,0,0,0,0,0,0,0,0,clumps of algae,0,12650,6,11,5,0,0,0,830,0,0,0,0,0,0,36,,,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,,,,,,,160,5.081404365,9.445491542,2.48490665,0,1.791759469
B,3,399,9/8/2004,6/15/2004,85,5,clear,0,0,0,0,,0,0,0,0,0,0,0,1,some plant junk; 6 weird small caterpillars,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,91,0,218,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,609,6.413458957,2.833213344,0,0,0
B,3,399,9/22/2004,6/15/2004,99,7.5,clear,0,0,0,0,,0,0,0,0,0,0,0,0,,0,250,0,2,0,0,0,0,0,0,0,0,1,0,0,404,,,11,0,1,0,0,0,0,0,1 total 3%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,15,2.772588722,5.525452939,1.098612289,0,0
B,3,399,10/6/2004,6/15/2004,113,7,clear,0,0,0,0,,0,0,0,0,0,0,0,0,algal clumps,0,1004,1,2,0,0,0,0,0,0,0,0,0,0,0,4,,,43,0,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,86,4.465908119,6.91274282,1.098612289,0,0
B,3,399,10/20/2004,6/15/2004,127,6,lt yellow clear,0,0,0,0,,0,0,0,0,0,1,0,1,,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,9,0,51,0,0,0,0,0,1 tot 2%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,61,4.127134385,3.33220451,0,0,0
B,3,399,11/3/2004,6/15/2004,141,4,lt yellow,0,0,0,0,,0,0,0,0,0,3,0,0,"1 large, 2 small midges",0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,1,4000,0,0,0,0,0,1 tot 3%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4032,8.302265795,3.784189634,0,0,0
B,3,399,11/17/2004,6/15/2004,155,4,slight yellow,0,0,0,0,,0,0,0,0,0,4,0,0,,0,51,16,32,0,13,0,0,0,0,0,0,0,0,0,1,0,0,8,15,2400,0,0,0,0,0,3 tot 7%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2423,7.793174347,3.951243719,3.496507561,0,0
B,3,399,12/1/2004,6/15/2004,169,4,clear,0,0,0,0,,0,0,0,0,0,0,0,0,leaf is dead; some greenish frass,0,25,8,110,0,0,0,0,0,0,0,0,0,0,0,44,0,0,9,5,97,0,0,0,0,1,2 tot 7%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,111,4.718498871,3.258096538,4.709530201,0,0
B,3,399,12/15/2004,6/15/2004,183,2,clear,0,0,0,0,,0,0,0,0,0,0,0,0,frass,0,522,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56,4.043051268,6.259581464,0,0,1.098612289
B,3,399,12/29/2004,6/15/2004,197,4,clear,0,0,0,0,,0,0,0,0,0,1,0,0,small midge,0,14,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,4 tot 10%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,3.295836866,2.708050201,1.945910149,0,0
B,3,399,1/10/2005,6/15/2004,209,0,,0,0,0,0,,0,0,0,0,0,0,0,0,"DONE; DEAD; ""Triple Band""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
B,4,104,5/13/2004,5/13/2004,0,0,,,0,0,0,,,,,,,,,,"green-red, healthy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
B,4,104,6/1/2004,5/13/2004,19,0.1,,,0,0,0,,,,,,,,,,"small sample, all collected, leaf green/red, healthy",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,10900,0,0,0,0,,,,,,,,,,,,,,,,,,,,,60900,11.01700487,0,0,0,0
B,4,104,6/15/2004,5/13/2004,33,12,"milky, pink",13,13,0,0,,6,1,1,0,4,0,0,15,"teenie-tiny lear, lots of rotifers, almost all sample",0,0,0,0,0,0,0,0,0,0,,,,,,,,,26800,1000,100,0,0,0,0,0,0,64400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,92300,11.43281025,0,0,0,0
B,4,104,6/29/2004,5/13/2004,47,16,milky,5,5,0,0,,10,0,3,3,4,0,0,21,lots of ant parts,7,24750,0,0,1,0,0,0,1,0,0,0,0,0,,,,,0,45,1,0,88,0,0,6,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,251,5.529429088,10.11662117,0,2.079441542,0.693147181
B,4,104,7/14/2004,5/13/2004,62,9,clear/ tan,1 fly,0,0,0,fly,1,0,0,1,0,0,0,0,"lots of ant parts, copepod?",2,0,0,278,0,0,0,1,0,0,0,0,0,0,1,,,,176,83,100,0,0,62,0,0,0,0,0,0,0,0,34,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,,,,,,,889,6.791221463,0,5.631211782,1.098612289,0
B,4,104,7/27/2004,5/13/2004,75,13.5,lt. cloudy,0,0,0,0,,9,1,3,0,5,0,0,1,"some parts, nematode",0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,,,,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,,,,,,,3638,8.199464198,0,3.850147602,0,0
B,4,104,8/11/2004,5/13/2004,90,12.5,clear,0,0,0,0,,13,4,5,1,3,1,0,0,LOP,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,2300,too many -3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,,,,,,,2411,7.788211558,3.433987204,1.098612289,0,0
B,4,104,8/25/2004,5/13/2004,104,12.5,clear,0,0,0,0,,9,1,2,4,2,1,0,0,LOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,127,0,1,0,2,0,0,0,3 x 8% (-5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,130,4.875197323,0,0,0,0
B,4,104,9/8/2004,5/13/2004,118,15,clear,0,0,0,0,,5,0,1,3,1,2,0,0,1 dead mite; leaf near dead,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2,0,0,0,0,0,,,,,238,5.476463552,0,0,0,0
B,4,104,9/22/2004,5/13/2004,132,11,clear,0,0,0,0,,3,0,0,0,3,1,0,0,grass,0,7,0,57,0,0,0,0,1,0,0,0,0,0,0,26,,,1396,0,0,0,0,0,0,0,6 total 15%,0,0,0,0,0,100,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,1508,7.319202459,2.079441542,4.060443011,0,0
B,4,104,10/6/2004,5/13/2004,146,8,tan,0,0,0,0,,3,0,0,1,2,1,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,4200,0,0,0,0,0,0,0,3 tot 5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,4200,8.343077871,0,1.386294361,0,0
B,4,104,10/20/2004,5/13/2004,160,12.5,clear,0,0,0,0,,3,0,0,1,2,0,0,0,leaf dead,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,55,0,3,0,0,0,0,0,1 tot 3%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58,4.077537444,0,1.386294361,0,0
B,4,104,11/3/2004,5/13/2004,174,4,lt yellow,0,0,0,0,,3,0,0,0,3,4,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,34,1900,32,0,0,0,0,0,18 tot 30%,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2066,7.63385356,1.386294361,0,0,0
B,4,104,11/17/2004,5/13/2004,188,0.4,tan,0,0,0,0,,0,0,0,0,0,0,0,0,DONE; flag pulled; dead pitcher,0,122,10,344,0,0,0,0,0,0,0,0,0,0,0,1,0,31 #9,128,0,10,0,0,0,0,0,37 tot 23%,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,238,5.476463552,4.812184355,5.843544417,0,0
B,6,1,2/20/2004,2/20/2004,0,1,milky,1,1,0,0,,0,0,0,0,0,0,0,0,"healthy, red/green, actually opened 2 weeks earlier",,,,,,,,,,,,,,,,,,,2400,6500,700,0,0,0,0,0,0,7500,300,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,17400,9.764282955,0,0,0,0
B,6,1,3/7/2004,2/20/2004,16,2,milky,8,8,0,0,,0,0,0,0,0,0,0,3,"red, healthy",0,21H,0,0,0,0,0,0,,,,,,,,,,,23600,17600,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,58400,10.97508829,#VALUE!,0,0,0
B,6,1,3/21/2004,2/20/2004,30,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
B,6,1,4/4/2004,2/20/2004,44,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
B,6,1,4/18/2004,2/20/2004,58,0.1,cloudy,0,0,0,0,,0,0,0,0,0,1,0,0,lots of ant parts,,,,,,,,,,,,,,,,,,,1000,11300,0,0,100,0,0,0,0,0,0,3400,1000,5300,300,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,22400,10.01686088,0,0,0,0
B,6,1,4/30/2004,2/20/2004,70,3,cloudy,1,1,0,0,,2,0,0,2,0,1,0,0,1 dead adult mosq,1,626,0,0,5,0,0,0,,6,,,,,,,,,0,409,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,451,6.11368218,6.440946541,0,0.693147181,1.791759469
B,6,1,5/13/2004,2/20/2004,83,0,,,0,0,0,,,,,,,,,,"small, deep red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
B,6,1,6/1/2004,2/20/2004,102,0,,,0,0,0,,,,,,,,,,"no water, leaf red, small, healthy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
B,6,1,6/15/2004,2/20/2004,116,1.5,clear,0,0,0,0,,0,0,0,0,0,0,0,0,"large hole in bottom, DONE, leaf meeds measurements",30,318,3,6,0,0,1,0,0,0,,,,,,,,,0,0,0,0,12,0,0,22,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,29,3.401197382,5.765191103,1.945910149,3.433987204,0
B,6,1,6/29/2004,2/20/2004,130,0.5,clear,0,0,0,0,,0,0,0,0,0,0,0,0,"rotfiers, emptied it with sampling, 1 mosq in sample",0,3,0,2,0,0,0,1,0,0,0,0,0,0,,,,,1500,7600,3100,0,0,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,14800,9.602450025,1.386294361,1.098612289,0,0
B,6,1,7/14/2004,2/20/2004,145,0,,,0,0,0,,,,,,,,,,finished- no fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
