Site,Leaf,Clone,Treatment,ID,Day,Count
Pleaphase,2,2,30C,P24_26_6,3,1
Pleaphase,2,3,25C,P24_25_1,3,0
Pleaphase,2,3,25C,P24_25_2,3,1
Pleaphase,2,3,25C,P24_25_3,3,1
Pleaphase,2,3,30C,P24_25_4,3,4
Pleaphase,2,3,30C,P24_25_5,3,2
Pleaphase,2,3,30C,P24_25_6,3,2
Pleaphase,3,1,25C,P3_35_1,3,1
Pleaphase,3,1,25C,P3_35_2,3,1
Pleaphase,3,1,25C,P3_35_3,3,0
Pleaphase,3,1,30C,P3_35_4,3,0
Pleaphase,3,1,30C,P3_35_5,3,0
Pleaphase,3,1,30C,P3_35_6,3,1
Pleaphase,3,2,25C,P3_36_1,3,1
Pleaphase,3,2,25C,P3_36_2,3,0
Pleaphase,3,2,25C,P3_36_3,3,0
Pleaphase,3,2,30C,P3_36_4,3,1
Pleaphase,3,2,30C,P3_36_5,3,2
Pleaphase,3,2,30C,P3_36_6,3,0
Pleaphase,3,3,25C,P3_37_1,3,0
Pleaphase,3,3,25C,P3_37_2,3,1
Pleaphase,3,3,25C,P3_37_3,3,0
Pleaphase,3,3,30C,P3_37_4,3,0
Pleaphase,3,3,30C,P3_37_5,3,0
Pleaphase,3,3,30C,P3_37_6,3,1
Crystal,1,1,25C,C23_1_1,6,3
Crystal,1,1,25C,C23_1_2,6,0
Crystal,1,1,25C,C23_1_3,6,0
Crystal,1,1,30C,C23_1_4,6,0
Crystal,1,1,30C,C23_1_5,6,1
Crystal,1,1,30C,C23_1_6,6,0
Crystal,1,2,25C,C23_2_1,6,4
Crystal,1,2,25C,C23_2_2,6,2
Crystal,1,2,25C,C23_2_3,6,1
Crystal,1,2,30C,C23_2_4,6,2
Crystal,1,2,30C,C23_2_5,6,7
Crystal,1,2,30C,C23_2_6,6,0
Crystal,2,1,25C,C7_17_1,6,3
Crystal,2,1,25C,C7_17_2,6,5
Crystal,2,1,25C,C7_17_3,6,3
Crystal,2,1,30C,C7_17_4,6,2
Crystal,2,1,30C,C7_17_5,6,1
Crystal,2,1,30C,C7_17_6,6,3
Crystal,2,2,25C,C7_18_1,6,2
Crystal,2,2,25C,C7_18_2,6,1
Crystal,2,2,25C,C7_18_3,6,2
Crystal,2,2,30C,C7_18_4,6,8
Crystal,2,2,30C,C7_18_5,6,5
Crystal,2,2,30C,C7_18_6,6,4
Crystal,2,3,25C,C7_19_1,6,1
Crystal,2,3,25C,C7_19_2,6,0
Crystal,2,3,25C,C7_19_3,6,3
Crystal,2,3,30C,C7_19_4,6,2
Crystal,2,3,30C,C7_19_5,6,3
Crystal,2,3,30C,C7_19_6,6,6
Crystal,3,1,25C,C36_72_1,6,1
Crystal,3,1,25C,C36_72_2,6,2
Crystal,3,1,25C,C36_72_3,6,0
Crystal,3,1,30C,C36_72_4,6,3
Crystal,3,1,30C,C36_72_5,6,1
Crystal,3,1,30C,C36_72_6,6,3
Crystal,3,2,25C,C36_73_1,6,0
Crystal,3,2,25C,C36_73_2,6,2
Crystal,3,2,25C,C36_73_3,6,1
Crystal,3,2,30C,C36_73_4,6,0
Crystal,3,2,30C,C36_73_5,6,1
Crystal,3,2,30C,C36_73_6,6,0
Crystal,3,3,25C,C36_74_1,6,2
Crystal,3,3,25C,C36_74_2,6,0
Crystal,3,3,25C,C36_74_3,6,0
Crystal,3,3,30C,C36_74_4,6,6
Crystal,3,3,30C,C36_74_5,6,9
Crystal,3,3,30C,C36_74_6,6,2
Pleaphase,1,1,25C,P36_39_1,6,3
Pleaphase,1,1,25C,P36_39_2,6,1
Pleaphase,1,1,25C,P36_39_3,6,0
Pleaphase,1,1,30C,P36_39_4,6,2
Pleaphase,1,1,30C,P36_39_5,6,3
Pleaphase,1,1,30C,P36_39_6,6,4
Pleaphase,1,2,25C,P36_40_1,6,0
Pleaphase,1,2,25C,P36_40_2,6,0
Pleaphase,1,2,25C,P36_40_3,6,3
Pleaphase,1,2,30C,P36_40_4,6,1
Pleaphase,1,2,30C,P36_40_5,6,1
Pleaphase,1,2,30C,P36_40_6,6,2
Pleaphase,1,3,25C,P36_42_1,6,2
Pleaphase,1,3,25C,P36_42_2,6,0
Pleaphase,1,3,25C,P36_42_3,6,1
Pleaphase,1,3,30C,P36_42_4,6,0
Pleaphase,1,3,30C,P36_42_5,6,2
Pleaphase,1,3,30C,P36_42_6,6,6
Pleaphase,2,1,25C,P24_75_1,6,5
Pleaphase,2,1,25C,P24_75_2,6,1
Pleaphase,2,1,25C,P24_75_3,6,3
Pleaphase,2,1,30C,P24_75_4,6,3
Pleaphase,2,1,30C,P24_75_5,6,2
Pleaphase,2,1,30C,P24_75_6,6,2
Pleaphase,2,2,25C,P24_26_1,6,4
Pleaphase,2,2,25C,P24_26_2,6,1
Pleaphase,2,2,25C,P24_26_3,6,2
Pleaphase,2,2,30C,P24_26_4,6,7
Pleaphase,2,2,30C,P24_26_5,6,5
Pleaphase,2,2,30C,P24_26_6,6,2
Pleaphase,2,3,25C,P24_25_1,6,2
Pleaphase,2,3,25C,P24_25_2,6,1
Pleaphase,2,3,25C,P24_25_3,6,2
Pleaphase,2,3,30C,P24_25_4,6,9
Pleaphase,2,3,30C,P24_25_5,6,6
Pleaphase,2,3,30C,P24_25_6,6,9
Pleaphase,3,1,25C,P3_35_1,6,0
Pleaphase,3,1,25C,P3_35_2,6,0
Pleaphase,3,1,25C,P3_35_3,6,0
Pleaphase,3,1,30C,P3_35_4,6,3
Pleaphase,3,1,30C,P3_35_5,6,3
Pleaphase,3,1,30C,P3_35_6,6,5
Pleaphase,3,2,25C,P3_36_1,6,0
Pleaphase,3,2,25C,P3_36_2,6,1
Pleaphase,3,2,25C,P3_36_3,6,0
Pleaphase,3,2,30C,P3_36_4,6,7
Pleaphase,3,2,30C,P3_36_5,6,7
Pleaphase,3,2,30C,P3_36_6,6,8
Pleaphase,3,3,25C,P3_37_1,6,2
Pleaphase,3,3,25C,P3_37_2,6,0
Pleaphase,3,3,25C,P3_37_3,6,0
Pleaphase,3,3,30C,P3_37_4,6,3
Pleaphase,3,3,30C,P3_37_5,6,3
Pleaphase,3,3,30C,P3_37_6,6,2
Crystal,1,1,25C,C23_1_1,9,5
Crystal,1,1,25C,C23_1_2,9,4
Crystal,1,1,25C,C23_1_3,9,0
Crystal,1,1,30C,C23_1_4,9,8
Crystal,1,1,30C,C23_1_5,9,16
Crystal,1,1,30C,C23_1_6,9,4
Crystal,1,2,25C,C23_2_1,9,2
Crystal,1,2,25C,C23_2_2,9,3
Crystal,1,2,25C,C23_2_3,9,6
Crystal,1,2,30C,C23_2_4,9,4
Crystal,1,2,30C,C23_2_5,9,12
Crystal,1,2,30C,C23_2_6,9,13
Crystal,2,1,25C,C7_17_1,9,7
Crystal,2,1,25C,C7_17_2,9,8
Crystal,2,1,25C,C7_17_3,9,3
Crystal,2,1,30C,C7_17_4,9,12
Crystal,2,1,30C,C7_17_5,9,11
Crystal,2,1,30C,C7_17_6,9,15
Crystal,2,2,25C,C7_18_1,9,2
Crystal,2,2,25C,C7_18_2,9,3
Crystal,2,2,25C,C7_18_3,9,3
Crystal,2,2,30C,C7_18_4,9,18
Crystal,2,2,30C,C7_18_5,9,4
Crystal,2,2,30C,C7_18_6,9,10
Crystal,2,3,25C,C7_19_1,9,3
Crystal,2,3,25C,C7_19_2,9,4
Crystal,2,3,25C,C7_19_3,9,4
Crystal,2,3,30C,C7_19_4,9,5
Crystal,2,3,30C,C7_19_5,9,12
Crystal,2,3,30C,C7_19_6,9,20
Crystal,3,1,25C,C36_72_1,9,6
Crystal,3,1,25C,C36_72_2,9,1
Crystal,3,1,25C,C36_72_3,9,4
Crystal,3,1,30C,C36_72_4,9,9
Crystal,3,1,30C,C36_72_5,9,13
Crystal,3,1,30C,C36_72_6,9,12
Crystal,3,2,25C,C36_73_1,9,0
Crystal,3,2,25C,C36_73_2,9,1
Crystal,3,2,25C,C36_73_3,9,1
Crystal,3,2,30C,C36_73_4,9,0
Crystal,3,2,30C,C36_73_5,9,0
Crystal,3,2,30C,C36_73_6,9,2
Crystal,3,3,25C,C36_74_1,9,1
Crystal,3,3,25C,C36_74_2,9,11
Crystal,3,3,25C,C36_74_3,9,4
Crystal,3,3,30C,C36_74_4,9,5
Crystal,3,3,30C,C36_74_5,9,21
Crystal,3,3,30C,C36_74_6,9,27
Pleaphase,1,1,25C,P36_39_1,9,2
Pleaphase,1,1,25C,P36_39_2,9,6
Pleaphase,1,1,25C,P36_39_3,9,2
Pleaphase,1,1,30C,P36_39_4,9,6
Pleaphase,1,1,30C,P36_39_5,9,13
Pleaphase,1,1,30C,P36_39_6,9,11
Pleaphase,1,2,25C,P36_40_1,9,1
Pleaphase,1,2,25C,P36_40_2,9,3
Pleaphase,1,2,25C,P36_40_3,9,2
Pleaphase,1,2,30C,P36_40_4,9,11
Pleaphase,1,2,30C,P36_40_5,9,4
Pleaphase,1,2,30C,P36_40_6,9,13
Pleaphase,1,3,25C,P36_42_1,9,2
Pleaphase,1,3,25C,P36_42_2,9,1
Pleaphase,1,3,25C,P36_42_3,9,0
Pleaphase,1,3,30C,P36_42_4,9,5
Pleaphase,1,3,30C,P36_42_5,9,7
Pleaphase,1,3,30C,P36_42_6,9,14
Pleaphase,2,1,25C,P24_75_1,9,11
Pleaphase,2,1,25C,P24_75_2,9,6
Pleaphase,2,1,25C,P24_75_3,9,2
Pleaphase,2,1,30C,P24_75_4,9,19
Pleaphase,2,1,30C,P24_75_5,9,9
Pleaphase,2,1,30C,P24_75_6,9,16
Pleaphase,2,2,25C,P24_26_1,9,2
Pleaphase,2,2,25C,P24_26_2,9,7
Pleaphase,2,2,25C,P24_26_3,9,4
Pleaphase,2,2,30C,P24_26_4,9,5
Pleaphase,2,2,30C,P24_26_5,9,10
Pleaphase,2,2,30C,P24_26_6,9,10
Pleaphase,2,3,25C,P24_25_1,9,11
Pleaphase,2,3,25C,P24_25_2,9,9
Pleaphase,2,3,25C,P24_25_3,9,15
Pleaphase,2,3,30C,P24_25_4,9,14
Pleaphase,2,3,30C,P24_25_5,9,10
Pleaphase,2,3,30C,P24_25_6,9,9
Pleaphase,3,1,25C,P3_35_1,9,4
Pleaphase,3,1,25C,P3_35_2,9,4
Pleaphase,3,1,25C,P3_35_3,9,4
Pleaphase,3,1,30C,P3_35_4,9,4
Pleaphase,3,1,30C,P3_35_5,9,9
Pleaphase,3,1,30C,P3_35_6,9,4
Pleaphase,3,2,25C,P3_36_1,9,14
Pleaphase,3,2,25C,P3_36_2,9,8
Pleaphase,3,2,25C,P3_36_3,9,7
Pleaphase,3,2,30C,P3_36_4,9,12
Pleaphase,3,2,30C,P3_36_5,9,5
Pleaphase,3,2,30C,P3_36_6,9,18
Pleaphase,3,3,25C,P3_37_1,9,3
Pleaphase,3,3,25C,P3_37_2,9,3
Pleaphase,3,3,25C,P3_37_3,9,3
Pleaphase,3,3,30C,P3_37_4,9,6
Pleaphase,3,3,30C,P3_37_5,9,10
Pleaphase,3,3,30C,P3_37_6,9,7
Crystal,1,1,25C,C23_1_1,12,7
Crystal,1,1,25C,C23_1_2,12,6
Crystal,1,1,25C,C23_1_3,12,3
Crystal,1,1,30C,C23_1_4,12,20
Crystal,1,1,30C,C23_1_5,12,13
Crystal,1,1,30C,C23_1_6,12,11
Crystal,1,2,25C,C23_2_1,12,0
Crystal,1,2,25C,C23_2_2,12,3
Crystal,1,2,25C,C23_2_3,12,0
Crystal,1,2,30C,C23_2_4,12,33
Crystal,1,2,30C,C23_2_5,12,5
Crystal,1,2,30C,C23_2_6,12,17
Crystal,2,1,25C,C7_17_1,12,5
Crystal,2,1,25C,C7_17_2,12,8
Crystal,2,1,25C,C7_17_3,12,4
Crystal,2,1,30C,C7_17_4,12,22
Crystal,2,1,30C,C7_17_5,12,27
Crystal,2,1,30C,C7_17_6,12,27
Crystal,2,2,25C,C7_18_1,12,3
Crystal,2,2,25C,C7_18_2,12,5
Crystal,2,2,25C,C7_18_3,12,11
Crystal,2,2,30C,C7_18_4,12,23
Crystal,2,2,30C,C7_18_5,12,21
Crystal,2,2,30C,C7_18_6,12,15
Crystal,2,3,25C,C7_19_1,12,1
Crystal,2,3,25C,C7_19_2,12,5
Crystal,2,3,25C,C7_19_3,12,6
Crystal,2,3,30C,C7_19_4,12,26
Crystal,2,3,30C,C7_19_5,12,21
Crystal,2,3,30C,C7_19_6,12,25
Crystal,3,1,25C,C36_72_1,12,0
Crystal,3,1,25C,C36_72_2,12,3
Crystal,3,1,25C,C36_72_3,12,9
Crystal,3,1,30C,C36_72_4,12,11
Crystal,3,1,30C,C36_72_5,12,22
Crystal,3,1,30C,C36_72_6,12,25
Crystal,3,2,25C,C36_73_1,12,0
Crystal,3,2,25C,C36_73_2,12,3
Crystal,3,2,25C,C36_73_3,12,0
Crystal,3,2,30C,C36_73_4,12,1
Crystal,3,2,30C,C36_73_5,12,1
Crystal,3,2,30C,C36_73_6,12,14
Crystal,3,3,25C,C36_74_1,12,18
Crystal,3,3,25C,C36_74_2,12,12
Crystal,3,3,25C,C36_74_3,12,3
Crystal,3,3,30C,C36_74_4,12,35
Crystal,3,3,30C,C36_74_5,12,27
Crystal,3,3,30C,C36_74_6,12,22
Pleaphase,1,1,25C,P36_39_1,12,3
Pleaphase,1,1,25C,P36_39_2,12,4
Pleaphase,1,1,25C,P36_39_3,12,8
Pleaphase,1,1,30C,P36_39_4,12,17
Pleaphase,1,1,30C,P36_39_5,12,25
Pleaphase,1,1,30C,P36_39_6,12,12
Pleaphase,1,2,25C,P36_40_1,12,3
Pleaphase,1,2,25C,P36_40_2,12,6
Pleaphase,1,2,25C,P36_40_3,12,4
Pleaphase,1,2,30C,P36_40_4,12,22
Pleaphase,1,2,30C,P36_40_5,12,23
Pleaphase,1,2,30C,P36_40_6,12,13
Pleaphase,1,3,25C,P36_42_1,12,0
Pleaphase,1,3,25C,P36_42_2,12,6
Pleaphase,1,3,25C,P36_42_3,12,6
Pleaphase,1,3,30C,P36_42_4,12,18
Pleaphase,1,3,30C,P36_42_5,12,11
Pleaphase,1,3,30C,P36_42_6,12,11
Pleaphase,2,1,25C,P24_75_1,12,5
Pleaphase,2,1,25C,P24_75_2,12,5
Pleaphase,2,1,25C,P24_75_3,12,16
Pleaphase,2,1,30C,P24_75_4,12,70
Pleaphase,2,1,30C,P24_75_5,12,37
Pleaphase,2,1,30C,P24_75_6,12,26
Pleaphase,2,2,25C,P24_26_1,12,2
Pleaphase,2,2,25C,P24_26_2,12,2
Pleaphase,2,2,25C,P24_26_3,12,5
Pleaphase,2,2,30C,P24_26_4,12,31
Pleaphase,2,2,30C,P24_26_5,12,21
Pleaphase,2,2,30C,P24_26_6,12,45
Pleaphase,2,3,25C,P24_25_1,12,19
Pleaphase,2,3,25C,P24_25_2,12,7
Pleaphase,2,3,25C,P24_25_3,12,9
Pleaphase,2,3,30C,P24_25_4,12,14
Pleaphase,2,3,30C,P24_25_5,12,10
Pleaphase,2,3,30C,P24_25_6,12,35
Pleaphase,3,1,25C,P3_35_1,12,3
Pleaphase,3,1,25C,P3_35_2,12,6
Pleaphase,3,1,25C,P3_35_3,12,7
Pleaphase,3,1,30C,P3_35_4,12,8
Pleaphase,3,1,30C,P3_35_5,12,12
Pleaphase,3,1,30C,P3_35_6,12,17
Pleaphase,3,2,25C,P3_36_1,12,9
Pleaphase,3,2,25C,P3_36_2,12,19
Pleaphase,3,2,25C,P3_36_3,12,8
Pleaphase,3,2,30C,P3_36_4,12,23
Pleaphase,3,2,30C,P3_36_5,12,20
Pleaphase,3,2,30C,P3_36_6,12,13
Pleaphase,3,3,25C,P3_37_1,12,1
Pleaphase,3,3,25C,P3_37_2,12,8
Pleaphase,3,3,25C,P3_37_3,12,4
Pleaphase,3,3,30C,P3_37_4,12,31
Pleaphase,3,3,30C,P3_37_5,12,17
Pleaphase,3,3,30C,P3_37_6,12,14
Crystal,1,1,25C,C23_1_1,15,13
Crystal,1,1,25C,C23_1_2,15,9
Crystal,1,1,25C,C23_1_3,15,30
Crystal,1,1,30C,C23_1_4,15,29
Crystal,1,1,30C,C23_1_5,15,41
Crystal,1,1,30C,C23_1_6,15,16
Crystal,1,2,25C,C23_2_1,15,12
Crystal,1,2,25C,C23_2_2,15,9
Crystal,1,2,25C,C23_2_3,15,6
Crystal,1,2,30C,C23_2_4,15,17
Crystal,1,2,30C,C23_2_5,15,25
Crystal,1,2,30C,C23_2_6,15,25
Crystal,2,1,25C,C7_17_1,15,31
Crystal,2,1,25C,C7_17_2,15,15
Crystal,2,1,25C,C7_17_3,15,12
Crystal,2,1,30C,C7_17_4,15,33
Crystal,2,1,30C,C7_17_5,15,27
Crystal,2,1,30C,C7_17_6,15,32
Crystal,2,2,25C,C7_18_1,15,15
Crystal,2,2,25C,C7_18_2,15,11
Crystal,2,2,25C,C7_18_3,15,13
Crystal,2,2,30C,C7_18_4,15,37
Crystal,2,2,30C,C7_18_5,15,20
Crystal,2,2,30C,C7_18_6,15,18
Crystal,2,3,25C,C7_19_1,15,13
Crystal,2,3,25C,C7_19_2,15,20
Crystal,2,3,25C,C7_19_3,15,18
Crystal,2,3,30C,C7_19_4,15,39
Crystal,2,3,30C,C7_19_5,15,46
Crystal,2,3,30C,C7_19_6,15,35
Crystal,3,1,25C,C36_72_1,15,16
Crystal,3,1,25C,C36_72_2,15,14
Crystal,3,1,25C,C36_72_3,15,13
Crystal,3,1,30C,C36_72_4,15,22
Crystal,3,1,30C,C36_72_5,15,11
Crystal,3,1,30C,C36_72_6,15,15
Crystal,3,2,25C,C36_73_1,15,5
Crystal,3,2,25C,C36_73_2,15,3
Crystal,3,2,25C,C36_73_3,15,2
Crystal,3,2,30C,C36_73_4,15,8
Crystal,3,2,30C,C36_73_5,15,4
Crystal,3,2,30C,C36_73_6,15,21
Crystal,3,3,25C,C36_74_1,15,10
Crystal,3,3,25C,C36_74_2,15,15
Crystal,3,3,25C,C36_74_3,15,18
Crystal,3,3,30C,C36_74_4,15,38
Crystal,3,3,30C,C36_74_5,15,49
Crystal,3,3,30C,C36_74_6,15,29
Pleaphase,1,1,25C,P36_39_1,15,10
Pleaphase,1,1,25C,P36_39_2,15,20
Pleaphase,1,1,25C,P36_39_3,15,16
Pleaphase,1,1,30C,P36_39_4,15,21
Pleaphase,1,1,30C,P36_39_5,15,11
Pleaphase,1,1,30C,P36_39_6,15,35
Pleaphase,1,2,25C,P36_40_1,15,9
Pleaphase,1,2,25C,P36_40_2,15,14
Pleaphase,1,2,25C,P36_40_3,15,12
Pleaphase,1,2,30C,P36_40_4,15,27
Pleaphase,1,2,30C,P36_40_5,15,24
Pleaphase,1,2,30C,P36_40_6,15,32
Pleaphase,1,3,25C,P36_42_1,15,11
Pleaphase,1,3,25C,P36_42_2,15,17
Pleaphase,1,3,25C,P36_42_3,15,24
Pleaphase,1,3,30C,P36_42_4,15,17
Pleaphase,1,3,30C,P36_42_5,15,17
Pleaphase,1,3,30C,P36_42_6,15,23
Pleaphase,2,1,25C,P24_75_1,15,27
Pleaphase,2,1,25C,P24_75_2,15,24
Pleaphase,2,1,25C,P24_75_3,15,25
Pleaphase,2,1,30C,P24_75_4,15,64
Pleaphase,2,1,30C,P24_75_5,15,54
Pleaphase,2,1,30C,P24_75_6,15,40
Pleaphase,2,2,25C,P24_26_1,15,14
Pleaphase,2,2,25C,P24_26_2,15,14
Pleaphase,2,2,25C,P24_26_3,15,14
Pleaphase,2,2,30C,P24_26_4,15,34
Pleaphase,2,2,30C,P24_26_5,15,45
Pleaphase,2,2,30C,P24_26_6,15,28
Pleaphase,2,3,25C,P24_25_1,15,7
Pleaphase,2,3,25C,P24_25_2,15,10
Pleaphase,2,3,25C,P24_25_3,15,27
Pleaphase,2,3,30C,P24_25_4,15,35
Pleaphase,2,3,30C,P24_25_5,15,52
Pleaphase,2,3,30C,P24_25_6,15,25
Pleaphase,3,1,25C,P3_35_1,15,15
Pleaphase,3,1,25C,P3_35_2,15,15
Pleaphase,3,1,25C,P3_35_3,15,14
Pleaphase,3,1,30C,P3_35_4,15,13
Pleaphase,3,1,30C,P3_35_5,15,20
Pleaphase,3,1,30C,P3_35_6,15,30
Pleaphase,3,2,25C,P3_36_1,15,32
Pleaphase,3,2,25C,P3_36_2,15,35
Pleaphase,3,2,25C,P3_36_3,15,23
Pleaphase,3,2,30C,P3_36_4,15,59
Pleaphase,3,2,30C,P3_36_5,15,41
Pleaphase,3,2,30C,P3_36_6,15,85
Pleaphase,3,3,25C,P3_37_1,15,13
Pleaphase,3,3,25C,P3_37_2,15,22
Pleaphase,3,3,25C,P3_37_3,15,17
Pleaphase,3,3,30C,P3_37_4,15,46
Pleaphase,3,3,30C,P3_37_5,15,14
Pleaphase,3,3,30C,P3_37_6,15,47
Crystal,1,1,25C,C23_1_1,18,11
Crystal,1,1,25C,C23_1_2,18,23
Crystal,1,1,25C,C23_1_3,18,29
Crystal,1,1,30C,C23_1_4,18,27
Crystal,1,1,30C,C23_1_5,18,26
Crystal,1,1,30C,C23_1_6,18,26
Crystal,1,2,25C,C23_2_1,18,14
Crystal,1,2,25C,C23_2_2,18,25
Crystal,1,2,25C,C23_2_3,18,21
Crystal,1,2,30C,C23_2_4,18,18
Crystal,1,2,30C,C23_2_5,18,15
Crystal,1,2,30C,C23_2_6,18,20
Crystal,2,1,25C,C7_17_1,18,15
Crystal,2,1,25C,C7_17_2,18,47
Crystal,2,1,25C,C7_17_3,18,25
Crystal,2,1,30C,C7_17_4,18,40
Crystal,2,1,30C,C7_17_5,18,44
Crystal,2,1,30C,C7_17_6,18,22
Crystal,2,2,25C,C7_18_1,18,20
Crystal,2,2,25C,C7_18_2,18,18
Crystal,2,2,25C,C7_18_3,18,24
Crystal,2,2,30C,C7_18_4,18,49
Crystal,2,2,30C,C7_18_5,18,27
Crystal,2,2,30C,C7_18_6,18,10
Crystal,2,3,25C,C7_19_1,18,24
Crystal,2,3,25C,C7_19_2,18,26
Crystal,2,3,25C,C7_19_3,18,20
Crystal,2,3,30C,C7_19_4,18,25
Crystal,2,3,30C,C7_19_5,18,35
Crystal,2,3,30C,C7_19_6,18,27
Crystal,3,1,25C,C36_72_1,18,39
Crystal,3,1,25C,C36_72_2,18,16
Crystal,3,1,25C,C36_72_3,18,27
Crystal,3,1,30C,C36_72_4,18,27
Crystal,3,1,30C,C36_72_5,18,13
Crystal,3,1,30C,C36_72_6,18,16
Crystal,3,2,25C,C36_73_1,18,9
Crystal,3,2,25C,C36_73_2,18,13
Crystal,3,2,25C,C36_73_3,18,11
Crystal,3,2,30C,C36_73_4,18,17
Crystal,3,2,30C,C36_73_5,18,25
Crystal,3,2,30C,C36_73_6,18,52
Crystal,3,3,25C,C36_74_1,18,23
Crystal,3,3,25C,C36_74_2,18,29
Crystal,3,3,25C,C36_74_3,18,18
Crystal,3,3,30C,C36_74_4,18,24
Crystal,3,3,30C,C36_74_5,18,58
Crystal,3,3,30C,C36_74_6,18,38
Pleaphase,1,1,25C,P36_39_1,18,15
Pleaphase,1,1,25C,P36_39_2,18,19
Pleaphase,1,1,25C,P36_39_3,18,14
Pleaphase,1,1,30C,P36_39_4,18,24
Pleaphase,1,1,30C,P36_39_5,18,28
Pleaphase,1,1,30C,P36_39_6,18,46
Pleaphase,1,2,25C,P36_40_1,18,26
Pleaphase,1,2,25C,P36_40_2,18,12
Pleaphase,1,2,25C,P36_40_3,18,24
Pleaphase,1,2,30C,P36_40_4,18,26
Pleaphase,1,2,30C,P36_40_5,18,41
Pleaphase,1,2,30C,P36_40_6,18,36
Pleaphase,1,3,25C,P36_42_1,18,9
Pleaphase,1,3,25C,P36_42_2,18,25
Pleaphase,1,3,25C,P36_42_3,18,25
Pleaphase,1,3,30C,P36_42_4,18,31
Pleaphase,1,3,30C,P36_42_5,18,22
Pleaphase,1,3,30C,P36_42_6,18,16
Pleaphase,2,1,25C,P24_75_1,18,32
Pleaphase,2,1,25C,P24_75_2,18,25
Pleaphase,2,1,25C,P24_75_3,18,30
Pleaphase,2,1,30C,P24_75_4,18,23
