base,decision,label_id,area_px,label_path,note
1112_p3-37-2_65_1,accepted,1,7375,G:\Research\imageAnalysis\processed_segmentations\segs\1112_p3-37-2_65_1_Simple Segmentation_labels.png,
0543_p24-75-1_11_1,accepted,1,7251,G:\Research\imageAnalysis\processed_segmentations\segs\0543_p24-75-1_11_1_Simple Segmentation_labels.png,
2010_p36-40-3_21_1,accepted,1,7246,G:\Research\imageAnalysis\processed_segmentations\segs\2010_p36-40-3_21_1_Simple Segmentation_labels.png,
2730_c7-19-3_34_1,accepted,1,7160,G:\Research\imageAnalysis\processed_segmentations\segs\2730_c7-19-3_34_1_Simple Segmentation_labels.png,
1984_p24-25-2_11_1,accepted,1,7111,G:\Research\imageAnalysis\processed_segmentations\segs\1984_p24-25-2_11_1_Simple Segmentation_labels.png,
2439_c7-17-1_19_1,accepted,2,7105,G:\Research\imageAnalysis\processed_segmentations\segs\2439_c7-17-1_19_1_Simple Segmentation_labels.png,
2717_p36-39-1_09_2,accepted,1,7102,G:\Research\imageAnalysis\processed_segmentations\segs\2717_p36-39-1_09_2_Simple Segmentation_labels.png,
1141_c23-2-1_10_3,accepted,1,7085,G:\Research\imageAnalysis\processed_segmentations\segs\1141_c23-2-1_10_3_Simple Segmentation_labels.png,
2536_c7-19-3_20_2,accepted,1,7079,G:\Research\imageAnalysis\processed_segmentations\segs\2536_c7-19-3_20_2_Simple Segmentation_labels.png,
2152_c7-17-2_19_1,accepted,1,7074,G:\Research\imageAnalysis\processed_segmentations\segs\2152_c7-17-2_19_1_Simple Segmentation_labels.png,
2283_p24-75-1_10_1,accepted,1,7061,G:\Research\imageAnalysis\processed_segmentations\segs\2283_p24-75-1_10_1_Simple Segmentation_labels.png,
2591_c7-19-2_12_2,accepted,1,7058,G:\Research\imageAnalysis\processed_segmentations\segs\2591_c7-19-2_12_2_Simple Segmentation_labels.png,
1530_p3-35-3_20_2,accepted,1,6988,G:\Research\imageAnalysis\processed_segmentations\segs\1530_p3-35-3_20_2_Simple Segmentation_labels.png,
0823_c7-18-3_25_1,accepted,1,6981,G:\Research\imageAnalysis\processed_segmentations\segs\0823_c7-18-3_25_1_Simple Segmentation_labels.png,
0037_c7-19-2_13_1,accepted,1,6979,G:\Research\imageAnalysis\processed_segmentations\segs\0037_c7-19-2_13_1_Simple Segmentation_labels.png,
2172_c7-19-4_03_2,accepted,1,6948,G:\Research\imageAnalysis\processed_segmentations\segs\2172_c7-19-4_03_2_Simple Segmentation_labels.png,
1836_c7-19-5_06_1,accepted,1,6946,G:\Research\imageAnalysis\processed_segmentations\segs\1836_c7-19-5_06_1_Simple Segmentation_labels.png,
2580_p36-40-2_12_2,accepted,1,6946,G:\Research\imageAnalysis\processed_segmentations\segs\2580_p36-40-2_12_2_Simple Segmentation_labels.png,
1116_c7-17-6_03_2,accepted,1,6940,G:\Research\imageAnalysis\processed_segmentations\segs\1116_c7-17-6_03_2_Simple Segmentation_labels.png,
1195_p3-36-1_31_1,accepted,1,6938,G:\Research\imageAnalysis\processed_segmentations\segs\1195_p3-36-1_31_1_Simple Segmentation_labels.png,
1501_c7-18-4_05_2,accepted,1,6908,G:\Research\imageAnalysis\processed_segmentations\segs\1501_c7-18-4_05_2_Simple Segmentation_labels.png,
2310_c7-19-4_06_1,accepted,1,6866,G:\Research\imageAnalysis\processed_segmentations\segs\2310_c7-19-4_06_1_Simple Segmentation_labels.png,
1255_p3-36-6_16_1,accepted,1,6841,G:\Research\imageAnalysis\processed_segmentations\segs\1255_p3-36-6_16_1_Simple Segmentation_labels.png,
1070_p24-75-2_18_1,accepted,2,6814,G:\Research\imageAnalysis\processed_segmentations\segs\1070_p24-75-2_18_1_Simple Segmentation_labels.png,
2116_p3-37-2_52_1,accepted,1,6801,G:\Research\imageAnalysis\processed_segmentations\segs\2116_p3-37-2_52_1_Simple Segmentation_labels.png,
2539_p36-42-5_05_2,accepted,1,6785,G:\Research\imageAnalysis\processed_segmentations\segs\2539_p36-42-5_05_2_Simple Segmentation_labels.png,
0114_c23-2-2_12_1,accepted,1,6754,G:\Research\imageAnalysis\processed_segmentations\segs\0114_c23-2-2_12_1_Simple Segmentation_labels.png,
1419_p36-42-3_03_1,accepted,2,6722,G:\Research\imageAnalysis\processed_segmentations\segs\1419_p36-42-3_03_1_Simple Segmentation_labels.png,
0723_p3-37-3_33_1,accepted,1,6697,G:\Research\imageAnalysis\processed_segmentations\segs\0723_p3-37-3_33_1_Simple Segmentation_labels.png,
2625_p24-26-5_13_2,accepted,1,6686,G:\Research\imageAnalysis\processed_segmentations\segs\2625_p24-26-5_13_2_Simple Segmentation_labels.png,
1635_p36-40-6_01_1,accepted,1,6679,G:\Research\imageAnalysis\processed_segmentations\segs\1635_p36-40-6_01_1_Simple Segmentation_labels.png,
1430_c7-17-2_38_1,accepted,1,6652,G:\Research\imageAnalysis\processed_segmentations\segs\1430_c7-17-2_38_1_Simple Segmentation_labels.png,
2477_p36-39-6_12_1,accepted,1,6643,G:\Research\imageAnalysis\processed_segmentations\segs\2477_p36-39-6_12_1_Simple Segmentation_labels.png,
1262_p3-36-1_41_1,accepted,1,6603,G:\Research\imageAnalysis\processed_segmentations\segs\1262_p3-36-1_41_1_Simple Segmentation_labels.png,
2170_c7-18-1_41_1,accepted,1,6586,G:\Research\imageAnalysis\processed_segmentations\segs\2170_c7-18-1_41_1_Simple Segmentation_labels.png,
0108_p3-35-2_01_1,accepted,1,6572,G:\Research\imageAnalysis\processed_segmentations\segs\0108_p3-35-2_01_1_Simple Segmentation_labels.png,
1027_p3-36-6_42_1,accepted,1,6555,G:\Research\imageAnalysis\processed_segmentations\segs\1027_p3-36-6_42_1_Simple Segmentation_labels.png,
1557_p3-37-3_35_1,accepted,1,6554,G:\Research\imageAnalysis\processed_segmentations\segs\1557_p3-37-3_35_1_Simple Segmentation_labels.png,
1089_c36-72-5_03_1,accepted,1,6506,G:\Research\imageAnalysis\processed_segmentations\segs\1089_c36-72-5_03_1_Simple Segmentation_labels.png,
1610_p24-75-3_07_1,accepted,1,6506,G:\Research\imageAnalysis\processed_segmentations\segs\1610_p24-75-3_07_1_Simple Segmentation_labels.png,
0648_c7-19-4_01_4,accepted,1,6489,G:\Research\imageAnalysis\processed_segmentations\segs\0648_c7-19-4_01_4_Simple Segmentation_labels.png,
1910_p36-42-3_21_2,accepted,1,6483,G:\Research\imageAnalysis\processed_segmentations\segs\1910_p36-42-3_21_2_Simple Segmentation_labels.png,
1186_p3-37-2_34_2,accepted,1,6456,G:\Research\imageAnalysis\processed_segmentations\segs\1186_p3-37-2_34_2_Simple Segmentation_labels.png,
2704_p36-39-1_31_1,accepted,1,6455,G:\Research\imageAnalysis\processed_segmentations\segs\2704_p36-39-1_31_1_Simple Segmentation_labels.png,
2235_p36-42-3_09_2,accepted,1,6448,G:\Research\imageAnalysis\processed_segmentations\segs\2235_p36-42-3_09_2_Simple Segmentation_labels.png,
2462_p36-39-5_13_1,accepted,1,6447,G:\Research\imageAnalysis\processed_segmentations\segs\2462_p36-39-5_13_1_Simple Segmentation_labels.png,
1178_p3-37-1_28_2,accepted,1,6444,G:\Research\imageAnalysis\processed_segmentations\segs\1178_p3-37-1_28_2_Simple Segmentation_labels.png,
0029_c7-19-5_29_1,accepted,1,6423,G:\Research\imageAnalysis\processed_segmentations\segs\0029_c7-19-5_29_1_Simple Segmentation_labels.png,
0205_p36-40-3_30_1,accepted,1,6423,G:\Research\imageAnalysis\processed_segmentations\segs\0205_p36-40-3_30_1_Simple Segmentation_labels.png,
0737_p24-75-2_25_1,accepted,1,6420,G:\Research\imageAnalysis\processed_segmentations\segs\0737_p24-75-2_25_1_Simple Segmentation_labels.png,
0562_p36-39-6_13_1,accepted,1,6415,G:\Research\imageAnalysis\processed_segmentations\segs\0562_p36-39-6_13_1_Simple Segmentation_labels.png,
2162_p3-36-1_06_1,accepted,1,6398,G:\Research\imageAnalysis\processed_segmentations\segs\2162_p3-36-1_06_1_Simple Segmentation_labels.png,
0117_c23-1-4_21_1,accepted,1,6371,G:\Research\imageAnalysis\processed_segmentations\segs\0117_c23-1-4_21_1_Simple Segmentation_labels.png,
0688_p3-35-5_03_1,accepted,1,6325,G:\Research\imageAnalysis\processed_segmentations\segs\0688_p3-35-5_03_1_Simple Segmentation_labels.png,
0417_p24-75-1_14_2,accepted,1,6323,G:\Research\imageAnalysis\processed_segmentations\segs\0417_p24-75-1_14_2_Simple Segmentation_labels.png,
0391_p36-39-6_04_1,accepted,2,6320,G:\Research\imageAnalysis\processed_segmentations\segs\0391_p36-39-6_04_1_Simple Segmentation_labels.png,
2645_c23-2-2_21_2,accepted,1,6314,G:\Research\imageAnalysis\processed_segmentations\segs\2645_c23-2-2_21_2_Simple Segmentation_labels.png,
2194_c7-19-2_18_1,accepted,1,6313,G:\Research\imageAnalysis\processed_segmentations\segs\2194_c7-19-2_18_1_Simple Segmentation_labels.png,
2762_p3-37-2_15_3,accepted,1,6308,G:\Research\imageAnalysis\processed_segmentations\segs\2762_p3-37-2_15_3_Simple Segmentation_labels.png,
1995_p24-25-2_25_1,accepted,1,6306,G:\Research\imageAnalysis\processed_segmentations\segs\1995_p24-25-2_25_1_Simple Segmentation_labels.png,
2174_c23-2-1_21_1,accepted,1,6301,G:\Research\imageAnalysis\processed_segmentations\segs\2174_c23-2-1_21_1_Simple Segmentation_labels.png,
0482_c7-17-6_04_1,accepted,1,6300,G:\Research\imageAnalysis\processed_segmentations\segs\0482_c7-17-6_04_1_Simple Segmentation_labels.png,
2412_p24-26-5_21_1,accepted,1,6295,G:\Research\imageAnalysis\processed_segmentations\segs\2412_p24-26-5_21_1_Simple Segmentation_labels.png,
0657_c7-17-2_16_1,accepted,1,6292,G:\Research\imageAnalysis\processed_segmentations\segs\0657_c7-17-2_16_1_Simple Segmentation_labels.png,
0006_c7-19-5_26_1,accepted,1,6291,G:\Research\imageAnalysis\processed_segmentations\segs\0006_c7-19-5_26_1_Simple Segmentation_labels.png,
1978_p24-75-5_09_1,accepted,1,6281,G:\Research\imageAnalysis\processed_segmentations\segs\1978_p24-75-5_09_1_Simple Segmentation_labels.png,
1282_c7-18-4_23_1,accepted,1,6276,G:\Research\imageAnalysis\processed_segmentations\segs\1282_c7-18-4_23_1_Simple Segmentation_labels.png,
1435_p3-35-6_13_2,accepted,1,6276,G:\Research\imageAnalysis\processed_segmentations\segs\1435_p3-35-6_13_2_Simple Segmentation_labels.png,
2262_c7-18-4_27_1,accepted,1,6270,G:\Research\imageAnalysis\processed_segmentations\segs\2262_c7-18-4_27_1_Simple Segmentation_labels.png,
2716_c7-17-4_30_1,accepted,1,6270,G:\Research\imageAnalysis\processed_segmentations\segs\2716_c7-17-4_30_1_Simple Segmentation_labels.png,
1019_p36-40-6_11_1,accepted,1,6266,G:\Research\imageAnalysis\processed_segmentations\segs\1019_p36-40-6_11_1_Simple Segmentation_labels.png,
0937_c7-19-5_08_1,accepted,1,6256,G:\Research\imageAnalysis\processed_segmentations\segs\0937_c7-19-5_08_1_Simple Segmentation_labels.png,
2098_c7-17-1_15_1,accepted,1,6252,G:\Research\imageAnalysis\processed_segmentations\segs\2098_c7-17-1_15_1_Simple Segmentation_labels.png,
0407_p24-75-5_06_1,accepted,1,6233,G:\Research\imageAnalysis\processed_segmentations\segs\0407_p24-75-5_06_1_Simple Segmentation_labels.png,
0057_p3-36-1_47_1,accepted,1,6228,G:\Research\imageAnalysis\processed_segmentations\segs\0057_p3-36-1_47_1_Simple Segmentation_labels.png,
0084_p24-75-6_20_1,accepted,1,6217,G:\Research\imageAnalysis\processed_segmentations\segs\0084_p24-75-6_20_1_Simple Segmentation_labels.png,
1429_c7-18-4_07_1,accepted,1,6207,G:\Research\imageAnalysis\processed_segmentations\segs\1429_c7-18-4_07_1_Simple Segmentation_labels.png,
1773_c7-18-4_09_1,accepted,1,6203,G:\Research\imageAnalysis\processed_segmentations\segs\1773_c7-18-4_09_1_Simple Segmentation_labels.png,
1095_p3-35-2_03_1,accepted,1,6202,G:\Research\imageAnalysis\processed_segmentations\segs\1095_p3-35-2_03_1_Simple Segmentation_labels.png,
1849_c7-17-4_12_1,accepted,1,6196,G:\Research\imageAnalysis\processed_segmentations\segs\1849_c7-17-4_12_1_Simple Segmentation_labels.png,
0328_c23-2-1_17_1,accepted,1,6186,G:\Research\imageAnalysis\processed_segmentations\segs\0328_c23-2-1_17_1_Simple Segmentation_labels.png,
1996_p3-37-3_36_2,accepted,1,6178,G:\Research\imageAnalysis\processed_segmentations\segs\1996_p3-37-3_36_2_Simple Segmentation_labels.png,
2673_p3-36-1_02_1,accepted,1,6177,G:\Research\imageAnalysis\processed_segmentations\segs\2673_p3-36-1_02_1_Simple Segmentation_labels.png,
1514_c23-1-1_42_1,accepted,1,6154,G:\Research\imageAnalysis\processed_segmentations\segs\1514_c23-1-1_42_1_Simple Segmentation_labels.png,
0026_c7-17-5_22_1,accepted,2,6153,G:\Research\imageAnalysis\processed_segmentations\segs\0026_c7-17-5_22_1_Simple Segmentation_labels.png,
1199_p3-36-6_44_1,accepted,1,6150,G:\Research\imageAnalysis\processed_segmentations\segs\1199_p3-36-6_44_1_Simple Segmentation_labels.png,
2257_p3-36-1_39_3,accepted,2,6149,G:\Research\imageAnalysis\processed_segmentations\segs\2257_p3-36-1_39_3_Simple Segmentation_labels.png,
1003_p36-42-1_04_2,accepted,1,6143,G:\Research\imageAnalysis\processed_segmentations\segs\1003_p36-42-1_04_2_Simple Segmentation_labels.png,
2588_c7-19-5_35_1,accepted,1,6142,G:\Research\imageAnalysis\processed_segmentations\segs\2588_c7-19-5_35_1_Simple Segmentation_labels.png,
2750_p24-26-4_10_1,accepted,1,6137,G:\Research\imageAnalysis\processed_segmentations\segs\2750_p24-26-4_10_1_Simple Segmentation_labels.png,
1132_p36-40-3_06_2,accepted,1,6116,G:\Research\imageAnalysis\processed_segmentations\segs\1132_p36-40-3_06_2_Simple Segmentation_labels.png,
1755_c23-1-2_17_1,accepted,1,6110,G:\Research\imageAnalysis\processed_segmentations\segs\1755_c23-1-2_17_1_Simple Segmentation_labels.png,
2406_p24-26-4_01_1,accepted,1,6110,G:\Research\imageAnalysis\processed_segmentations\segs\2406_p24-26-4_01_1_Simple Segmentation_labels.png,
1165_c36-74-2_20_1,accepted,1,6106,G:\Research\imageAnalysis\processed_segmentations\segs\1165_c36-74-2_20_1_Simple Segmentation_labels.png,
1910_p36-42-3_21_1,accepted,1,6097,G:\Research\imageAnalysis\processed_segmentations\segs\1910_p36-42-3_21_1_Simple Segmentation_labels.png,
0892_p24-26-2_10_1,accepted,1,6090,G:\Research\imageAnalysis\processed_segmentations\segs\0892_p24-26-2_10_1_Simple Segmentation_labels.png,
1395_c36-74-6_06_1,accepted,1,6088,G:\Research\imageAnalysis\processed_segmentations\segs\1395_c36-74-6_06_1_Simple Segmentation_labels.png,
2603_p3-36-3_38_1,accepted,1,6084,G:\Research\imageAnalysis\processed_segmentations\segs\2603_p3-36-3_38_1_Simple Segmentation_labels.png,
0139_p3-35-6_12_1,accepted,1,6071,G:\Research\imageAnalysis\processed_segmentations\segs\0139_p3-35-6_12_1_Simple Segmentation_labels.png,
1852_p3-36-2_33_1,accepted,1,6057,G:\Research\imageAnalysis\processed_segmentations\segs\1852_p3-36-2_33_1_Simple Segmentation_labels.png,
2145_p24-75-3_11_2,accepted,2,6057,G:\Research\imageAnalysis\processed_segmentations\segs\2145_p24-75-3_11_2_Simple Segmentation_labels.png,
2074_p36-42-2_09_1,accepted,1,6052,G:\Research\imageAnalysis\processed_segmentations\segs\2074_p36-42-2_09_1_Simple Segmentation_labels.png,
0270_p36-40-6_09_1,accepted,1,6042,G:\Research\imageAnalysis\processed_segmentations\segs\0270_p36-40-6_09_1_Simple Segmentation_labels.png,
0505_p24-25-1_13_1,accepted,1,6040,G:\Research\imageAnalysis\processed_segmentations\segs\0505_p24-25-1_13_1_Simple Segmentation_labels.png,
2225_p3-35-2_04_2,accepted,1,6037,G:\Research\imageAnalysis\processed_segmentations\segs\2225_p3-35-2_04_2_Simple Segmentation_labels.png,
1732_p3-37-1_5_1,accepted,1,6032,G:\Research\imageAnalysis\processed_segmentations\segs\1732_p3-37-1_5_1_Simple Segmentation_labels.png,
0293_c7-19-1_19_2,accepted,1,6031,G:\Research\imageAnalysis\processed_segmentations\segs\0293_c7-19-1_19_2_Simple Segmentation_labels.png,
1796_c7-19-4_17_2,accepted,1,6026,G:\Research\imageAnalysis\processed_segmentations\segs\1796_c7-19-4_17_2_Simple Segmentation_labels.png,
1776_c36-72-2_39_1,accepted,1,6023,G:\Research\imageAnalysis\processed_segmentations\segs\1776_c36-72-2_39_1_Simple Segmentation_labels.png,
0692_p3-36-1_29_2,accepted,1,6022,G:\Research\imageAnalysis\processed_segmentations\segs\0692_p3-36-1_29_2_Simple Segmentation_labels.png,
1220_c7-18-6_01_1,accepted,1,6021,G:\Research\imageAnalysis\processed_segmentations\segs\1220_c7-18-6_01_1_Simple Segmentation_labels.png,
1689_p3-37-1_32_1,accepted,1,6021,G:\Research\imageAnalysis\processed_segmentations\segs\1689_p3-37-1_32_1_Simple Segmentation_labels.png,
1941_p3-35-2_32_1,accepted,1,6018,G:\Research\imageAnalysis\processed_segmentations\segs\1941_p3-35-2_32_1_Simple Segmentation_labels.png,
0078_c7-18-4_14_2,accepted,1,6014,G:\Research\imageAnalysis\processed_segmentations\segs\0078_c7-18-4_14_2_Simple Segmentation_labels.png,
0004_c23-2-2_20_1,accepted,1,6008,G:\Research\imageAnalysis\processed_segmentations\segs\0004_c23-2-2_20_1_Simple Segmentation_labels.png,
2414_p24-25-5_03_1,accepted,2,6008,G:\Research\imageAnalysis\processed_segmentations\segs\2414_p24-25-5_03_1_Simple Segmentation_labels.png,
2680_p3-35-3_05_1,accepted,1,6008,G:\Research\imageAnalysis\processed_segmentations\segs\2680_p3-35-3_05_1_Simple Segmentation_labels.png,
0123_c23-1-6_04_1,accepted,1,6002,G:\Research\imageAnalysis\processed_segmentations\segs\0123_c23-1-6_04_1_Simple Segmentation_labels.png,
2314_p24-75-3_14_2,accepted,1,6001,G:\Research\imageAnalysis\processed_segmentations\segs\2314_p24-75-3_14_2_Simple Segmentation_labels.png,
1593_p36-42-4_07_1,accepted,1,5988,G:\Research\imageAnalysis\processed_segmentations\segs\1593_p36-42-4_07_1_Simple Segmentation_labels.png,
2020_p24-26-1_26_1,accepted,2,5984,G:\Research\imageAnalysis\processed_segmentations\segs\2020_p24-26-1_26_1_Simple Segmentation_labels.png,
0135_p3-36-1_48_2,accepted,1,5982,G:\Research\imageAnalysis\processed_segmentations\segs\0135_p3-36-1_48_2_Simple Segmentation_labels.png,
2012_p3-36-4_03_1,accepted,1,5973,G:\Research\imageAnalysis\processed_segmentations\segs\2012_p3-36-4_03_1_Simple Segmentation_labels.png,
0649_p3-36-3_68_1,accepted,1,5971,G:\Research\imageAnalysis\processed_segmentations\segs\0649_p3-36-3_68_1_Simple Segmentation_labels.png,
0782_p24-25-6_01_1,accepted,1,5969,G:\Research\imageAnalysis\processed_segmentations\segs\0782_p24-25-6_01_1_Simple Segmentation_labels.png,
1777_p36-42-3_05_2,accepted,1,5963,G:\Research\imageAnalysis\processed_segmentations\segs\1777_p36-42-3_05_2_Simple Segmentation_labels.png,
1856_p36-39-1_27_2,accepted,1,5963,G:\Research\imageAnalysis\processed_segmentations\segs\1856_p36-39-1_27_2_Simple Segmentation_labels.png,
1477_p24-26-4_25_1,accepted,1,5951,G:\Research\imageAnalysis\processed_segmentations\segs\1477_p24-26-4_25_1_Simple Segmentation_labels.png,
1217_p24-26-2_12_1,accepted,1,5948,G:\Research\imageAnalysis\processed_segmentations\segs\1217_p24-26-2_12_1_Simple Segmentation_labels.png,
1608_p3-36-1_17_1,accepted,1,5939,G:\Research\imageAnalysis\processed_segmentations\segs\1608_p3-36-1_17_1_Simple Segmentation_labels.png,
0817_p3-37-1_43_1,accepted,1,5937,G:\Research\imageAnalysis\processed_segmentations\segs\0817_p3-37-1_43_1_Simple Segmentation_labels.png,
2452_c7-19-4_04_2,accepted,1,5931,G:\Research\imageAnalysis\processed_segmentations\segs\2452_c7-19-4_04_2_Simple Segmentation_labels.png,
1100_p24-25-5_07_1,accepted,1,5929,G:\Research\imageAnalysis\processed_segmentations\segs\1100_p24-25-5_07_1_Simple Segmentation_labels.png,
2571_p36-40-3_29_1,accepted,1,5926,G:\Research\imageAnalysis\processed_segmentations\segs\2571_p36-40-3_29_1_Simple Segmentation_labels.png,
1760_c36-74-1_05_1,accepted,1,5923,G:\Research\imageAnalysis\processed_segmentations\segs\1760_c36-74-1_05_1_Simple Segmentation_labels.png,
2415_p36-40-1_36_2,accepted,1,5918,G:\Research\imageAnalysis\processed_segmentations\segs\2415_p36-40-1_36_2_Simple Segmentation_labels.png,
1528_c7-17-2_08_2,accepted,1,5917,G:\Research\imageAnalysis\processed_segmentations\segs\1528_c7-17-2_08_2_Simple Segmentation_labels.png,
2349_p36-39-3_08_2,accepted,1,5915,G:\Research\imageAnalysis\processed_segmentations\segs\2349_p36-39-3_08_2_Simple Segmentation_labels.png,
0065_c36-74-3_51_1,accepted,1,5910,G:\Research\imageAnalysis\processed_segmentations\segs\0065_c36-74-3_51_1_Simple Segmentation_labels.png,
0394_p3-35-2_15_1,accepted,1,5910,G:\Research\imageAnalysis\processed_segmentations\segs\0394_p3-35-2_15_1_Simple Segmentation_labels.png,
1312_p24-75-6_08_1,accepted,1,5907,G:\Research\imageAnalysis\processed_segmentations\segs\1312_p24-75-6_08_1_Simple Segmentation_labels.png,
2418_c7-17-2_09_2,accepted,1,5907,G:\Research\imageAnalysis\processed_segmentations\segs\2418_c7-17-2_09_2_Simple Segmentation_labels.png,
0814_c7-19-4_15_1,accepted,1,5906,G:\Research\imageAnalysis\processed_segmentations\segs\0814_c7-19-4_15_1_Simple Segmentation_labels.png,
0592_c7-18-3_02_1,accepted,1,5904,G:\Research\imageAnalysis\processed_segmentations\segs\0592_c7-18-3_02_1_Simple Segmentation_labels.png,
0473_p36-40-6_05_1,accepted,2,5903,G:\Research\imageAnalysis\processed_segmentations\segs\0473_p36-40-6_05_1_Simple Segmentation_labels.png,
1151_p3-35-2_05_1,accepted,1,5900,G:\Research\imageAnalysis\processed_segmentations\segs\1151_p3-35-2_05_1_Simple Segmentation_labels.png,
0969_p3-35-5_02_1,accepted,1,5897,G:\Research\imageAnalysis\processed_segmentations\segs\0969_p3-35-5_02_1_Simple Segmentation_labels.png,
0263_p36-40-3_19_2,accepted,1,5890,G:\Research\imageAnalysis\processed_segmentations\segs\0263_p36-40-3_19_2_Simple Segmentation_labels.png,
0268_c36-72-1_19_1,accepted,1,5880,G:\Research\imageAnalysis\processed_segmentations\segs\0268_c36-72-1_19_1_Simple Segmentation_labels.png,
1544_p24-75-5_05_1,accepted,2,5880,G:\Research\imageAnalysis\processed_segmentations\segs\1544_p24-75-5_05_1_Simple Segmentation_labels.png,
1142_p36-39-6_07_1,accepted,1,5879,G:\Research\imageAnalysis\processed_segmentations\segs\1142_p36-39-6_07_1_Simple Segmentation_labels.png,
2085_p24-25-1_20_1,accepted,1,5878,G:\Research\imageAnalysis\processed_segmentations\segs\2085_p24-25-1_20_1_Simple Segmentation_labels.png,
1502_p3-35-2_02_1,accepted,1,5875,G:\Research\imageAnalysis\processed_segmentations\segs\1502_p3-35-2_02_1_Simple Segmentation_labels.png,
2379_c7-19-5_18_1,accepted,1,5875,G:\Research\imageAnalysis\processed_segmentations\segs\2379_c7-19-5_18_1_Simple Segmentation_labels.png,
0199_c7-18-6_04_1,accepted,1,5870,G:\Research\imageAnalysis\processed_segmentations\segs\0199_c7-18-6_04_1_Simple Segmentation_labels.png,
1281_c23-2-1_36_1,accepted,1,5861,G:\Research\imageAnalysis\processed_segmentations\segs\1281_c23-2-1_36_1_Simple Segmentation_labels.png,
1166_p24-25-3_04_1,accepted,1,5859,G:\Research\imageAnalysis\processed_segmentations\segs\1166_p24-25-3_04_1_Simple Segmentation_labels.png,
0898_p36-40-1_35_1,accepted,1,5856,G:\Research\imageAnalysis\processed_segmentations\segs\0898_p36-40-1_35_1_Simple Segmentation_labels.png,
2132_p36-40-5_20_1,accepted,1,5856,G:\Research\imageAnalysis\processed_segmentations\segs\2132_p36-40-5_20_1_Simple Segmentation_labels.png,
0987_p24-26-4_26_1,accepted,1,5843,G:\Research\imageAnalysis\processed_segmentations\segs\0987_p24-26-4_26_1_Simple Segmentation_labels.png,
2123_p3-37-1_20_1,accepted,1,5841,G:\Research\imageAnalysis\processed_segmentations\segs\2123_p3-37-1_20_1_Simple Segmentation_labels.png,
1301_c36-74-1_03_1,accepted,1,5840,G:\Research\imageAnalysis\processed_segmentations\segs\1301_c36-74-1_03_1_Simple Segmentation_labels.png,
1947_p24-75-6_25_1,accepted,1,5838,G:\Research\imageAnalysis\processed_segmentations\segs\1947_p24-75-6_25_1_Simple Segmentation_labels.png,
2031_p3-36-1_25_1,accepted,1,5834,G:\Research\imageAnalysis\processed_segmentations\segs\2031_p3-36-1_25_1_Simple Segmentation_labels.png,
